population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,4719,North Kalimantan,3,Both,22,All ages,935,Zika virus,3,Rate,1991,0.0,0.0,0.0
1,All Population,6,Incidence,4723,Yogyakarta,3,Both,22,All ages,935,Zika virus,3,Rate,1994,0.0,0.0,0.0
1,All Population,6,Incidence,4731,South Kalimantan,3,Both,22,All ages,935,Zika virus,3,Rate,1992,0.0,0.0,0.0
1,All Population,6,Incidence,4731,South Kalimantan,3,Both,22,All ages,935,Zika virus,3,Rate,1994,0.0,0.0,0.0
1,All Population,6,Incidence,4718,Riau Islands,3,Both,22,All ages,935,Zika virus,3,Rate,1994,0.0,0.0,0.0
1,All Population,6,Incidence,4716,Lampung,3,Both,22,All ages,935,Zika virus,3,Rate,1994,0.0,0.0,0.0
1,All Population,6,Incidence,4723,Yogyakarta,3,Both,22,All ages,935,Zika virus,3,Rate,1993,0.0,0.0,0.0
1,All Population,6,Incidence,4730,Central Kalimantan,3,Both,22,All ages,935,Zika virus,3,Rate,1993,0.0,0.0,0.0
1,All Population,6,Incidence,4710,North Sumatra,3,Both,22,All ages,935,Zika virus,3,Rate,1993,0.0,0.0,0.0
1,All Population,6,Incidence,4716,Lampung,3,Both,22,All ages,935,Zika virus,3,Rate,1993,0.0,0.0,0.0
1,All Population,6,Incidence,4734,Central Sulawesi,3,Both,22,All ages,935,Zika virus,3,Rate,1991,0.0,0.0,0.0
1,All Population,6,Incidence,4716,Lampung,3,Both,22,All ages,935,Zika virus,3,Rate,1995,0.0,0.0,0.0
1,All Population,6,Incidence,4710,North Sumatra,3,Both,22,All ages,935,Zika virus,3,Rate,1992,0.0,0.0,0.0
1,All Population,6,Incidence,1,Global,3,Both,22,All ages,935,Zika virus,3,Rate,1992,0.0,0.0,0.0
1,All Population,6,Incidence,4709,Aceh,3,Both,22,All ages,935,Zika virus,3,Rate,1994,0.0,0.0,0.0
1,All Population,6,Incidence,4729,West Kalimantan,3,Both,22,All ages,935,Zika virus,3,Rate,1992,0.0,0.0,0.0
1,All Population,6,Incidence,4738,West Sulawesi,3,Both,22,All ages,935,Zika virus,3,Rate,1992,0.0,0.0,0.0
1,All Population,6,Incidence,4723,Yogyakarta,3,Both,22,All ages,935,Zika virus,3,Rate,1995,0.0,0.0,0.0
1,All Population,6,Incidence,4724,East Java,3,Both,22,All ages,935,Zika virus,3,Rate,1992,0.0,0.0,0.0
1,All Population,6,Incidence,4709,Aceh,3,Both,22,All ages,935,Zika virus,3,Rate,1995,0.0,0.0,0.0
1,All Population,6,Incidence,4714,South Sumatra,3,Both,22,All ages,935,Zika virus,3,Rate,1991,0.0,0.0,0.0
